City,Country,Max Temp,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
marfino,RU,48.0,0,81,4.47,56.07,37.56
jalu,LY,74.9,0,58,7.67,29.03,21.55
valle hermoso,MX,87.8,20,70,13.87,25.67,-97.82
kupang,ID,84.2,20,48,9.17,-10.16,123.6
zyryanka,RU,31.01,2,70,3.85,65.73,150.89
sampit,ID,79.06,74,80,2.26,-2.54,112.95
ulaangom,MN,44.55,5,80,1.86,49.98,92.07
ust-maya,RU,32.24,95,80,11.03,60.42,134.54
bintulu,MY,75.2,75,100,3.36,3.17,113.03
ostrovnoy,RU,39.98,100,94,1.79,68.05,39.51
sioux lookout,CA,44.6,75,65,4.7,50.1,-91.92
conakry,GN,80.26,100,84,8.66,9.52,-13.7
xichang,CN,50.63,85,91,1.77,27.88,102.25
paka,CF,68.89,100,99,2.89,4.15,15.03
vikhorevka,RU,42.8,75,70,13.42,56.12,101.17
nabire,ID,76.63,90,89,0.96,-3.36,135.5
yelan,RU,44.01,97,80,4.18,50.95,43.74
broken hill,AU,59.0,0,33,9.17,-31.97,141.45
zhangye,CN,58.81,0,25,7.63,38.94,100.46
nouadhibou,MR,68.0,0,88,14.99,20.93,-17.03
raudeberg,NO,51.8,100,93,9.89,61.99,5.14
klaksvik,FO,50.0,95,93,6.93,62.23,-6.59
honningsvag,NO,37.8,100,74,10.67,70.98,25.97
grimshaw,CA,39.99,20,51,4.7,56.19,-117.61
koshurnikovo,RU,31.54,84,93,2.01,54.3,93.39
canchungo,GW,80.6,1,94,2.24,12.07,-16.03
mae sot,MM,75.2,20,88,2.24,16.71,98.57
presidencia roque saenz pena,AR,78.03,0,34,8.05,-26.79,-60.44
roswell,US,86.0,1,37,16.11,33.39,-104.52
pokhara,NP,50.17,100,91,1.25,28.21,83.99
kankon,IN,77.0,40,94,5.82,15.02,74.02
ahipara,NZ,58.64,58,80,14.56,-35.17,173.16
palmer,AU,61.0,40,51,16.11,-34.85,139.16
fare,PF,78.05,5,84,15.5,-16.7,-151.02
darhan,MN,46.12,51,71,5.59,49.49,105.92
malanje,AO,66.67,100,93,6.26,-9.54,16.35
mattru,SL,73.53,98,97,1.25,7.62,-11.83
sinnamary,GF,82.82,85,79,17.74,5.38,-52.96
bumba,CD,70.99,100,96,2.8,2.18,22.47
sabha,LY,77.45,0,48,13.87,27.03,14.43
vardo,US,79.0,1,73,3.36,39.62,-77.74
helong,CN,72.25,0,64,2.86,25.94,116.13
rincon,PA,77.0,75,94,4.7,8.46,-82.28
penticton,CA,51.8,90,53,5.82,49.49,-119.59
tigil,RU,44.06,96,68,7.31,57.8,158.67
tallahassee,US,87.8,20,70,5.82,30.44,-84.28
arica,CL,60.8,0,77,3.36,-18.48,-70.32
jiaonan,CN,73.4,0,64,5.37,35.88,119.98
khorixas,NA,57.51,0,91,1.79,-20.37,14.96
lamu,CN,46.78,0,50,0.43,35.77,102.37
hue,VN,80.6,40,83,2.24,16.47,107.58
havoysund,NO,35.6,100,93,10.29,71.0,24.66
maceio,BR,71.6,0,94,4.7,-9.67,-35.74
togur,RU,30.89,32,92,4.85,58.36,82.83
peniche,PT,60.8,20,82,13.87,39.36,-9.38
ittiri,IT,64.0,0,100,1.12,40.59,8.57
samarkand,UZ,62.6,0,51,6.93,39.65,66.98
west wendover,US,50.0,90,93,11.41,40.74,-114.07
iberia,PE,82.51,39,43,1.68,-11.41,-69.49
moron,HT,83.41,92,77,8.68,18.56,-74.26
nador,MA,73.4,20,83,2.24,35.17,-2.93
salina,US,63.0,90,93,5.82,38.84,-97.61
tateyama,JP,79.0,75,73,3.36,36.66,137.31
carahue,CL,52.45,99,86,20.02,-38.71,-73.16
fonte boa,BR,83.74,45,73,1.43,-2.51,-66.09
mazagao,BR,84.2,20,79,8.05,-0.12,-51.29
necochea,AR,61.0,17,35,8.99,-38.55,-58.74
beaufort,MY,84.0,75,78,2.24,5.36,115.76
